"Collection Name","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"A. R. Sherwood Algal Biodiversity Laboratory","Alison R. Sherwood","Department of Botany","3190 Maile Way","c/o Dr. Alison Sherwood","Honolulu","Hawaii","96822","USA"
"Acari - Utrecht Collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Acari collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Acariformes",,,,,,,,
"Agrobacterium",,"Aejiwon, Kyung Hee university","1 Seocheon-dong, Giheung-gu",,"Yongin-si","Gyeonggi-do","446-701","South Korea"
"Algae",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"Algae",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Algae (Freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Algae and Fungi",,"Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München",,"D-80638","Germany"
"Allan Herbarium","Ines Schönberger","Landcare Research","PO Box 40",,"Lincoln 7640",,,"New Zealand"
"Amblypygi",,,,,,,,
"Amphibia",,,,,,,,
"Amphibia",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Amphibians",,"Santiago Ron","Museo de Zoologia","Pontificia Universidad Catolica del Ecuador","Quito","Pichincha","NA","Ecuador"
"Amphipoda",,,,,,,,
"Anfibios y reptiles",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico"
"Animalia",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"Annelida",,,,,,,,
"Anthropology",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Arachnology",,,,,,,,
"Aranea",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico"
"Araneae",,,,,,,,
"Archaeognatha (Microcoryphia)",,,,,,,,
"Archaeozoological Materials Collection",,,,,,,,
"Insect, Arachnid and Myriapod Collection","Crystal Maier","The Field Museum of Natural History","1400 S. Lake Shore Drive",,"Chicago","IL","60605-2496","USA"
"Arthropoda - Aranea collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Chilopoda collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Collembola collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Diplopoda collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Diplura collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Pedipalpida collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Protura collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Pseudoscorpioida collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Pycnogonida collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Scorpionida collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Solpugida collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Thysanura collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Arthropoda - Xiphosura collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Athropoda - Opiliones",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Aves",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico"
"Aves",,,,,,,,
"Aves",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Bank of Edible and Medicinal Fungi",,"Departament de Biologia Vegetal. 3ª planta","Facultat de Biologia. Universitat de Barcelona","Avda. Diagonal, 645","Barcelona","Barcelona","8028","Spain"
"Beecher Crampton Collection",,"UC Davis Center for Plant Diversity","Plant Sciences MS#7","One Shields Avenue","Davis","CA","95616-8780","USA"
"Benign Prostatic Hyperplasia Collection",,"5010 units","Catholic Research Institutes of Medical Science 505","Banpo-dong","Seocho-gu","Seoul","137-040","South Korea"
"Benthic Invertebrates Collection",,,,,,,,
"Biodiversity Institute of Ontario OAC Herbarium",,,,,,,,
"Bird collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Bird Collection",,"Portland State University","Museum of Vertebrate Biology","P.O. Box 751","Portland","OR","97207-0751","USA"
"Bird Specimens","Carla Cicero, PH.D","Museum of Vertebrate Zoology","3101 Valley Life Sciences Building","University of California","Berkeley","CA","94720-3160","USA"
"Birds",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Birds",,,,,,,,
"Birds (second volume)",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Bivalvia",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Bivalvia (Freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Bivalvia (Marine)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Blattodea",,,,,,,,
"Bony Fishes Collection",,,,,,,,
"Botanical and Mycological Museum",,,,,,,,
"Botany","Debra  Trock","California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Botany Collection (Vascular Plants and Fungi)","Caleb A. Morse","Biodiversity Institute","Bridwell Botanical Research Lab","2045 Constant Ave","Lawrence","KS","66047","USA"
"Botany Department",,"NMNH - Botany Department","MRC 0166","Smithsonian Institution - P.O. Box 37012","Washington","DC","20013-7012","USA"
"Brachiopoda",,,,,,,,
"Brachiopoda",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Brachiopoda collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Branchiopoda",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Bryology Collection",,,,,,,,
"Bryophyte Collection",,"University of Illinois","Illinois Natural History Survey Herbarium",,"Champaign","IL","61820","USA"
"Bryophytes",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"Bryophytes and Lichens",,"Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München",,"D-80638","Germany"
"Bryozoa",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Bryozoa",,,,,,,,
"Bryozoa and Brachiopoda",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Bryozoa collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Buprestidae",,,,,,,,
"Callipodida",,,,,,,,
"CAS Ichthyology",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Caudofoveata",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"CBS Herbarium",,,,,,,,
"Cephalochordata",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Cephalopod Species Collection",,,,,,,,
"Cephalopoda",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Chaetognatha",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Charterhouse School Museum Herbarium",,"University of California, Berkeley","1001 Valley Life Sciences Building #2465",,"Berkeley","CA","94720-2465","USA"
"Chelicerata",,,,,,,,
"Chelicerata",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Chordeumatida",,,,,,,,
"Cirripedia",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Cnidaria",,,,,,,,
"Cnidaria",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Coelenterata collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Coelenterates",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Colección de Artrópodos de Importancia Médica",,"Departamento de Microbiología","Calle 4B # 36-00","San Fernando","Cali","Valle del Cauca","S. A.","Colombia"
"Coleccion de Invertebrados, Museo de Zoologia QCAZ",,,,,,,,
"Coleccion de Ornitologia, Museo de Zoologia QCAZ",,"Av. 12 de Octubre 1076 y Roca","Escuela de Biologia","Pontificia Universidad Catolica del Ecuador","Quito","Pichincha","17012184","Ecuador"
"Coleccion Herpetologica Luciano Javier Avila Mariana Morando","Luciano Javier Avila/Mariana Morando","Boulevard Almirante Guillermo Brown 2915","CENPAT-CONICET",,"Puerto Madryn","Chubut","U9120ACD","Argentina"
"Coleccion Nacional de Aves",,"Ap. Post. 70-153",,,"Mexico City","Distrito Federal","4510","Mexico"
"Coleccion Nacional de Helmintos",,,,,,,,
"Coleoptera",,,,,,,,
"Coleoptera",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario Kn 5.5, C.P.","Chetumal","Q.R.","77014","Mexico"
"Coleoptera",,"Zoologische Staatssammlung Muenchen","Die Sektion Coleoptera","Muenchhausenstrasse 21","81247 Muenchen",,,"Germany"
"Coleoptera",,,,,,,,
"Coleoptera",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Coleoptera, Lepidoptera, Hymenoptera, & Diptera Collection",,,,,,,,
"Collembola","Nicole Fisher",,,,,,,"Australia"
"Copepoda (freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Copepoda (Marine)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Craspedosomatida",,,,,,,,
"Craterostigmatida",,,,,,,,
"Crop Species - Biomaterials",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Crop Species - DNA",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Crop Species - Dried",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Crop Species - Frozen",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Crustacea",,,,,,,,
"Crustacea",,,,,,,,
"Crustacea",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Crustacea - Amphipoda collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Branchiopoda, Cephalocarida collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Branchiura, Mystacocarida",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Cirripedia collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Copepoda collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Cumacea",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Decapoda + Euphausiacea collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Isopoda",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Leptostraca, Anaspidacea, Thermosbaenacea, Spelaeogriphacea, Cumacea collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Mysidacea collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Ostracoda collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Crustacea - Stomatopoda collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Ctenophora",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Decapoda",,,,,,,,
"Department of Entomology",,"Box 50007",,,"Stockholm",,"10405","Sweden"
"Department of Invertebrate Zoology",,"Smithsonian Institution - Department of Invertebrate Zoology","Museum Support Center, MRC 534","4210 Silver Hill Road","Suitland","MD","20746","USA"
"Dermaptera",,,,,,,,
"Diatom Herbarium","Marina Potapova","Herbarium PH, Botany Deptartment","Academy of Natural Sciences of Philadelphia","1900 Benjamin Franklin Parkway","Philadelphia","PA","19103","USA"
"Diatoms",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Dicotyledons",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"Dicotyledons",,"Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München",,"D-80638","Germany"
"Diplura",,,,,,,,
"Diptera",,,,,,,,
"Diptera",,,,,,,,
"Diptera",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Division of Amphibians & Reptiles","J Tomasz Giermakowski","Museum of Southwestern Biology","CERIA Building, MSC03 2020","1 University of New Mexico","Albuquerque","New Mexico","87131-0001","USA"
"Division of Amphibians and Reptiles",,"Division of Amphibians and Reptiles","Museum Support Center, MRC 534","4210 Silver Hill Road","Suitland","MD","20746","USA"
"Division of Birds","Brian K. Schmidt","Smithsonian Institution","Division of Birds","PO Box 37012, MRC 116","Washington","DC","20560-0116","USA"
"Division of Mammals","Darrin Lunde","P.O. Box 37012, MRC-108",,,"Washington","DC","20013-7012","USA"
"DNA Products",,,,,,,,"Australia"
"Dried Herbarium Collection",,"National Collection of Fungi","Biosystematics Division, ARC-PPRI","Private Bag x134","Pretoria","Gouteng Province","121","South Africa"
"Dubois Collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Dudley Stanford Collection","Debra  Trock","California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Echinodermata",,,,,,,,
"Echinodermata",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Echinodermata",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Echiura",,,,,,,,
"Echiura",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Egg & Nest",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Embioptera",,,,,,,,
"Entomological Collection","Olavi Kurina","Kreutzwaldi 5",,,"Tartu","not applicable","51014","Estonia"
"Entomology",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Entomology",,"Department of Invertebrate Zoology","2559 Puesta del Sol",,"Santa Barbara","CA","93105","USA"
"Entomology - Australian Voucher Specimens",,,,,,,,
"Entomology Collection",,"P.O. Box 37012, MRC-106",,,"Washington","DC","20013-7012","USA"
"Entomology Collection",,,,,,,,
"Entomology Collection",,"265 UCB",,,"Boulder","Colorado","80309-0265","USA"
"Entomology Type Collection",,,,,,,,
"Entomology Types",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Ephemeroptera",,,,,,,,
"Ephemeroptera",,"Colorado State University","Department of Bioagricultural Sciences and Pest Management",,"Fort Collins","Colorado","80523","USA"
"Evertebrata Varia",,,,,,,,
"Extracts, Seed, Dried material, DNA, Specimen",,"Herbarium(KWU) & Plant Systematics Laboratory","Dept. of Life Science, Coll. of Natural Sciences, Kyungwon University","65 Bokjeong-dong, Sujeong-gu","Seongnam-si","Kyeonggi-do","461-701","South Korea"
"Fish",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Fish Collection",,"Museum of NZ Te Papa Tongarewa","169 Tory Street",,"Wellington",,,"New Zealand"
"Fish Collection","John P. Friel","Cornell Univeristy Museum of Vertebrates","159 Sapsucker Woods Road",,"Ithaca","NY","14850-1923","USA"
"Fishes and Reptiles Collection",,,,,,,,
"Forestry Species - Biomaterials",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Forestry Species - DNA",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Forestry Species - Dried",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Forestry Species - Frozen",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Formicidae",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario Kn 5.5, C.P.","Chetumal","Q.R.","77014","Mexico"
"Fossil Collection",,,,,,,,
"Fungal Biotechnology Culture Collection",,"Viikinkaari 9, P.O.Box 56, Biocenter 1",,,"University of Helsinki","na","FI-00014","Finland"
"Fungal Culture Collection",,"5 Kreutzwaldi Str.",,,"Tartu","not applicable","51014","Estonia"
"Fungi",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"Fungus Collection","Andrew N. Miller","University of Illinois","Illinois Natural History Survey Herbarium","1816 South Oak Street","Champaign","IL","61820","USA"
"Gastropod Species Collection",,,,,,,,
"Gastropoda (Freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Gastropoda (Marine)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Gastrotricha",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Geological Museum",,,,,,,,
"Geologisch Instituut Amsterdam, Paleontological collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Geophilida",,,,,,,,
"Glomerida",,,,,,,,
"Glomeridesmida",,,,,,,,
"Grylloblattodea",,,,,,,,
"Gymnosperms",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"HAMBI Culture Collection",,"Viikinkaari 9, P.O.Box 56, Biocenter 1, FI-00014, University of Helsinki",,,"University of Helsinki","na","FI-00014","Finland"
"Hemichordata",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Hemiptera",,,,,,,,
"Hemiptera",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario Kn 5.5, C.P.","Chetumal","Q.R.","77014","Mexico"
"Hemiptera",,,,,,,,
